"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000133048",50.1611040593815,-1.45078784705471,0.173342793903293,-8.36947307924489,5.7876448442724e-17,1.11554401981467e-14,"CHI3L1"
"ENSG00000137648",1741.49546139018,0.911842450068401,0.109461101671413,8.33028752812687,8.06462482251939e-17,1.54135989044858e-14,"TMPRSS4"
"ENSG00000014257",58.978331800144,0.870249347447784,0.104601539123271,8.31966101781936,8.8215240456504e-17,1.67197285745227e-14,"ACPP"
"ENSG00000159921",704.641868064271,0.715536327783682,0.0860748475208494,8.31295492693568,9.33479814071967e-17,1.75463346208701e-14,"GNE"
"ENSG00000198431",1363.88151335309,0.782286446969335,0.0941322559155788,8.31050355014245,9.52968138488686e-17,1.77658256899891e-14,"TXNRD1"
"ENSG00000128683",63.6916764538941,1.33752377261222,0.16173955259456,8.26961464376655,1.3439268957223e-16,2.48506287124455e-14,"GAD1"
"ENSG00000176697",42.8047310352154,0.884632388207176,0.107091386147243,8.26053728533187,1.45018213326366e-16,2.65991471281845e-14,"BDNF"
"ENSG00000042062",213.39858476001,-0.978639170696921,0.118529832218658,-8.25647984459789,1.50031549992859e-16,2.72985405843007e-14,"FAM65C"
"ENSG00000183844",210.596896581839,1.18909118058534,0.144147890722303,8.24910565549722,1.59584298801856e-16,2.88062324757891e-14,"FAM3B"
"ENSG00000138294",6000.3482730476,1.63275124562631,0.19810313311456,8.24192540499658,1.69461211980298e-16,3.03482346872433e-14,"MSMB"
"ENSG00000080031",50.5400970502999,1.69786314388704,0.206305379959741,8.22985393894411,1.87441857342424e-16,3.3306075026532e-14,"PTPRH"
"ENSG00000169515",127.766487781826,-0.835508585351272,0.101658016195955,-8.21881654409578,2.05521150108512e-16,3.62354499075038e-14,"CCDC8"
"ENSG00000133138",228.360493479109,0.585405543272052,0.0712436507262545,8.21695038511439,2.08743376915779e-16,3.65204566505575e-14,"TBC1D8B"
"ENSG00000167306",841.248338303384,0.810523482338893,0.0987820819463428,8.2051670340291,2.30270513864409e-16,3.99791799032987e-14,"MYO5B"
"ENSG00000144847",42.4605230708306,1.08054823076282,0.131824177391457,8.19688961573486,2.46686777238725e-16,4.2504879253921e-14,"IGSF11"
"ENSG00000112902",2112.16529561613,-0.753498148789143,0.0920155091743928,-8.18881681522918,2.63806704641104e-16,4.51129300026863e-14,"SEMA5A"
"ENSG00000232756",167.458198543953,1.05262167200835,0.128706982210121,8.17843487535033,2.87554342397541e-16,4.88069848021618e-14,"ENSG00000232756"
"ENSG00000168032",213.016558455927,0.645771571749934,0.0793757686899493,8.13562605324038,4.09814973244497e-16,6.90431981590581e-14,"ENTPD3"
"ENSG00000188175",80.7813530111853,1.36124317297834,0.167711603868195,8.11657119472872,4.79539446944178e-16,8.01959204507234e-14,"HEPACAM2"
"ENSG00000232079",26.8526998290684,1.24447974694415,0.153452804787888,8.1098533758594,5.06808805341621e-16,8.41376603554003e-14,"ENSG00000232079"
"ENSG00000160180",1017.27544093327,1.24178886056058,0.153565084654149,8.08640104198993,6.14536038732544e-16,1.01282664238645e-13,"TFF3"
"ENSG00000196542",66.9930340250593,1.27638320021597,0.158059983846835,8.075308937478,6.73060190381049e-16,1.10130078921055e-13,"SPTSSB"
"ENSG00000121380",81.4666500978636,0.860900307430995,0.106812929323577,8.05988856295665,7.63640310787873e-16,1.24058823061138e-13,"BCL2L14"
"ENSG00000197838",88.9084940474855,-1.3946470584627,0.174738020291637,-7.9813600734118,1.44729585782981e-15,2.33456007024689e-13,"CYP2A13"
"ENSG00000162949",483.769522539193,-1.04735955008211,0.131275595842038,-7.97832638552547,1.48330738539581e-15,2.37579881503115e-13,"CAPN13"
"ENSG00000180861",13.5139124186179,1.73083243012975,0.216966652417505,7.97741224674078,1.49433072640918e-15,2.37671734555597e-13,"C12orf36"
"ENSG00000109819",348.068294633277,-0.75399414497799,0.09466906774024,-7.96452487571605,1.65859814539733e-15,2.61966362631367e-13,"PPARGC1A"
"ENSG00000101443",2016.18473650426,0.965487949709151,0.12133104515709,7.95746833350948,1.75595042499403e-15,2.75429906662511e-13,"WFDC2"
"ENSG00000180438",43.0069854423351,1.4697933100686,0.184903051243321,7.94899435236705,1.88031623818036e-15,2.92917209049138e-13,"TPRXL"
"ENSG00000159399",277.649704065308,0.955785620861502,0.120322990378209,7.9434995577919,1.96555396051439e-15,3.04112648149246e-13,"HK2"
"ENSG00000125848",760.388274981273,-0.925973765005664,0.116793567185808,-7.92829423158658,2.22176411953223e-15,3.41431102261088e-13,"FLRT3"
"ENSG00000167105",45.88513418493,0.933412105020098,0.117905906633452,7.91658477231258,2.44123313134211e-15,3.72640311001644e-13,"TMEM92"
"ENSG00000114638",936.561015169459,1.54629453338849,0.195379957074102,7.914294570154,2.48658929200466e-15,3.73099057704463e-13,"UPK1B"
"ENSG00000134245",286.865807010414,-0.57785211958053,0.0730168876205858,-7.91395166804693,2.49345131775758e-15,3.73099057704463e-13,"WNT2B"
"ENSG00000135063",178.30554863921,-0.544377763023465,0.0687734915863358,-7.91551730858499,2.46227136471478e-15,3.73099057704463e-13,"FAM189A2"
"ENSG00000108244",129.221957083935,1.21149504622775,0.153296978522493,7.90292840670692,2.7242607522062e-15,4.04971153909659e-13,"KRT23"
"ENSG00000111186",83.6734543898109,-0.746493237640861,0.0945460110114924,-7.89555508111412,2.89025993966491e-15,4.24103690759605e-13,"WNT5B"
"ENSG00000138944",26.9220357636541,1.4373885034705,0.182049976651219,7.89557093008764,2.88989265684018e-15,4.24103690759605e-13,"KIAA1644"
"ENSG00000112699",186.465783832622,0.777204962377742,0.0985134633772178,7.88932736433951,3.03819592321834e-15,4.42953385113321e-13,"GMDS"
"ENSG00000187097",371.264770272616,0.703730320300432,0.0892834844860589,7.8819764299221,3.22242819511176e-15,4.66821062863834e-13,"ENTPD5"
"ENSG00000214797",81.3357284022779,0.992878799767308,0.12601214417892,7.87923105536207,3.29401881617797e-15,4.74171923766783e-13,"ENSG00000214797"
"ENSG00000138772",187.777587475939,1.13818662914282,0.14480702400038,7.86002362109055,3.84061028164197e-15,5.49376353746321e-13,"ANXA3"
"ENSG00000163959",115.45375496865,0.778609909172324,0.0991091743810832,7.85608309255511,3.96332200928516e-15,5.63386223619886e-13,"SLC51A"
"ENSG00000145428",68.3575231562669,1.03342633784976,0.132114852916591,7.82218134475919,5.19157458340755e-15,7.33398585869698e-13,"RNF175"
"ENSG00000168389",95.9912058995199,0.863268207141847,0.110379128061897,7.82093700412054,5.24315802631529e-15,7.36113494756265e-13,"MFSD2A"
"ENSG00000140526",3650.80287760642,0.791493822434762,0.101349911682261,7.80951664680428,5.74077160455047e-15,8.01031345852122e-13,"ABHD2"
"ENSG00000136810",1250.63165165545,1.3004259239312,0.166660816963411,7.80282940900678,6.05343554828868e-15,8.39508159209011e-13,"TXN"
